id_TreM_type;saproxylic;epixylic;contains_mould;borne_by_living_tree;borne_by_snag;borne_by_log;shelter;tree_base;trunk;crown;soil_humus_contact;dry;wet;water_filled;ephemeral;annual;perennial;conifers;broadleaves;ontogenesis_rythm_veryrapid;ontogenesis_rythm_rapid;ontogenesis_rythm_fairlyrapid;ontogenesis_rythm_fairlyslow;ontogenesis_rythm_slow;ontogenesis_rythm_veryslow;trigger_frequency_veryrapid;trigger_frequency_rapid;trigger_frequency_fairlyrapid;trigger_frequency_fairlyslow;trigger_frequency_slow;trigger_frequency_veryslow
1011;5;0;3;3;2;0;5;0;1;4;0;5;0;0;0;0;5;2;3;0;0;3;1;1;0;0;0;4;1;0;0
1012;5;0;3;3;2;0;5;0;4;1;0;5;0;0;0;0;5;3;2;0;0;3;1;1;0;0;0;4;1;0;0
1013;5;0;3;4;1;0;5;0;5;0;0;5;0;0;0;0;5;2;3;0;0;3;1;1;0;0;0;4;1;0;0
1014;5;0;5;2;2;0;5;0;5;0;0;5;0;0;0;0;5;2;3;0;0;0;1;4;0;0;0;0;1;4;0
1021;5;0;5;3;2;0;5;5;0;0;5;4;1;0;0;0;5;2;3;0;0;0;0;3;2;0;0;0;1;4;0
1022;5;0;5;4;1;1;5;0;3;2;0;4;1;0;0;0;5;1;4;0;0;0;0;3;2;0;0;0;1;4;0
1023;5;0;5;4;1;1;3;5;0;0;5;3;2;0;0;0;5;2;3;0;0;0;0;3;2;0;0;0;1;4;0
1027;5;0;5;4;1;0;3;0;5;0;0;3;2;0;0;0;5;2;3;0;0;0;0;3;2;0;0;0;1;4;0
1024;5;0;5;2;2;0;1;5;0;0;5;1;4;0;0;0;5;3;2;0;0;0;0;2;3;0;0;0;1;4;0
1025;5;0;5;2;2;0;1;0;5;0;0;1;4;0;0;0;5;3;2;0;0;0;0;2;3;0;0;0;1;4;0
1026;5;0;5;1;1;0;5;0;0;5;0;4;1;0;0;0;5;1;4;0;0;0;1;4;0;0;0;0;1;4;0
1031;5;0;2;2;2;3;5;2;3;1;0;5;0;0;0;0;5;3;2;0;1;3;1;0;0;0;0;0;1;4;0
1041;2;3;2;3;1;1;0;2;1;3;0;0;1;4;4;0;1;2;3;0;0;0;1;4;0;0;4;1;0;0;0
1042;5;0;2;2;3;2;3;2;3;0;0;4;1;0;0;0;5;2;3;5;0;0;0;0;0;1;3;1;0;0;0
1043;0;5;0;5;0;0;3;0;5;0;0;4;1;0;0;0;5;5;0;0;0;0;0;4;1;0;0;0;0;4;1
1044;0;5;0;3;1;0;5;5;0;0;5;4;1;0;0;0;5;3;2;0;0;0;0;4;1;0;0;0;0;3;2
1051;5;0;0;2;1;1;0;2;2;1;1;3;2;0;0;0;5;2;3;3;0;0;2;0;0;0;0;0;4;1;0
1052;5;0;2;4;1;1;1;5;0;0;4;3;2;0;0;0;5;3;2;1;2;2;0;0;0;0;0;0;0;1;4
1053;5;0;0;2;2;1;5;2;3;2;0;5;0;0;1;1;3;3;2;0;0;0;4;1;0;0;0;0;1;4;0
1054;5;0;3;2;2;1;0;2;3;2;0;1;4;0;1;1;3;3;2;0;0;0;4;1;0;0;0;0;1;4;0
1061;5;0;1;5;0;0;0;0;2;2;0;1;4;0;0;0;5;2;3;1;0;0;2;2;0;0;0;0;0;4;1
1062;5;0;1;5;0;0;0;0;0;5;0;2;3;0;0;0;5;2;3;1;0;0;2;2;0;0;0;0;2;3;0
1063;5;0;1;3;2;1;4;1;3;2;0;4;1;0;0;0;5;2;3;5;0;0;0;0;0;0;0;0;0;3;2
1064;5;0;1;4;1;1;4;1;2;3;0;4;1;0;0;0;5;2;3;5;0;0;0;0;0;0;0;0;0;3;2
1065;5;0;1;3;2;1;2;0;0;5;0;1;4;0;0;1;4;2;3;5;0;0;0;0;0;0;0;0;0;4;1
1071;5;0;0;5;0;0;0;0;0;5;0;3;2;0;0;0;5;3;2;0;2;0;3;0;0;0;0;4;1;0;0
1072;5;0;0;5;0;0;0;0;0;5;0;4;1;0;0;0;5;3;2;0;2;0;3;0;0;0;0;0;3;2;0
1073;5;0;1;4;1;0;0;0;0;5;0;3;2;0;0;0;5;2;3;0;2;1;2;0;0;0;0;0;3;2;0
1081;0;5;0;4;1;0;0;0;0;5;0;4;1;0;0;0;5;3;2;0;0;0;2;3;0;0;0;0;3;2;0
1082;0;5;0;4;1;0;1;1;3;1;0;2;3;0;0;0;5;1;4;0;0;1;4;0;0;0;0;0;3;2;0
1091;0;5;0;4;1;0;0;2;2;1;0;3;2;0;0;0;5;2;3;0;0;0;1;4;0;0;0;0;1;4;0
1092;5;0;1;4;1;0;2;2;3;1;0;4;1;0;0;0;5;2;3;0;0;1;3;1;0;0;0;0;2;3;0
1101;1;4;0;2;2;2;1;3;2;1;0;5;0;0;0;0;5;3;2;0;1;2;3;0;0;0;0;5;0;0;0
1111;1;4;0;2;2;2;1;2;3;2;0;5;0;0;0;5;0;2;3;0;4;1;0;0;0;0;0;5;0;0;0
1112;0;5;0;2;2;2;1;2;2;1;0;1;4;0;5;0;0;3;2;5;0;0;0;0;0;0;0;5;0;0;0
1113;0;5;0;2;2;2;0;2;2;1;0;5;0;0;0;0;5;2;3;1;4;0;0;0;0;0;0;5;0;0;0
1114;0;5;0;2;2;2;0;2;2;1;0;0;5;0;5;0;0;3;2;5;0;0;0;0;0;0;0;5;0;0;0
1121;0;5;0;3;2;1;0;3;2;1;0;2;3;0;0;0;5;2;3;0;0;1;1;3;0;0;0;2;3;0;0
1122;0;5;0;3;1;2;1;2;2;3;0;3;2;0;0;0;5;3;2;0;0;0;1;4;0;0;0;2;3;0;0
1123;0;5;0;4;1;1;2;2;2;1;0;3;2;0;0;0;5;2;3;0;0;1;1;3;0;0;0;2;3;0;0
1124;0;5;0;3;1;1;0;0;1;4;0;1;4;0;0;5;0;1;4;0;1;1;3;0;0;0;0;0;1;4;0
1125;0;5;0;5;0;0;1;0;1;4;0;3;2;0;0;0;5;2;3;0;0;0;3;2;0;0;0;2;3;0;0
1131;0;5;0;4;1;1;1;1;2;3;1;3;2;0;1;3;1;3;2;0;3;1;1;0;0;0;0;3;1;1;0
1132;2;3;1;3;2;1;2;2;2;1;1;5;0;0;0;3;2;2;3;0;3;1;1;0;0;0;0;4;1;0;0
1141;0;5;0;4;1;1;0;1;4;0;0;2;3;0;0;0;5;1;4;0;0;1;3;1;0;0;0;1;3;1;0
1142;1;4;1;3;1;0;0;0;1;4;0;1;4;0;0;0;5;2;3;0;0;0;1;4;0;0;0;1;1;3;0
1143;0;5;0;4;1;0;1;5;0;0;1;4;1;0;0;0;5;5;0;0;0;0;1;4;0;0;0;1;1;3;0
1151;4;1;0;5;0;0;0;1;3;1;0;0;5;0;1;4;0;3;2;2;3;0;0;0;0;0;0;1;1;3;0
1152;4;1;0;4;1;0;0;1;3;1;0;5;0;0;1;1;3;5;0;4;1;0;0;0;0;0;0;1;2;2;0
1161;5;0;5;0;5;0;0;5;0;0;5;1;4;0;0;0;5;3;2;0;0;0;0;4;1;0;0;1;3;1;0
1171;0;5;0;1;0;4;0;5;0;0;5;2;2;1;0;0;5;2;3;5;0;0;0;0;0;0;0;1;3;1;0
1172;0;5;0;1;0;4;3;5;0;0;2;3;2;0;0;0;5;2;3;5;0;0;0;0;0;0;0;1;3;1;0
1173;0;5;0;1;0;4;0;5;0;0;5;2;3;0;0;0;5;2;3;5;0;0;0;0;0;0;0;1;3;1;0
