"placette","encombrement_arbust","encombrement_arbo","ouverture_pc","div_DMH","density_CV21","density_CV22","density_CV25","density_CV31","density_DE11","density_DE12","density_DE13","density_EP22","density_EX11","density_GR12","density_IN11","density_IN13","density_IN14","density_IN21","density_SE11","density_SE32","density_NA","density_CV11","density_CV12","density_CV14","density_CV44","density_DE10","density_IN23","density_CV13","density_CV41","density_EP21","density_GR21","density_IN22","density_SE13","density_CV23","density_CV42","density_EP23","density_SE21","density_EP11","density_CV24","density_CV26","density_SE12","density_GR11"
"T_118",0.875,0.75,9.1,17,3.53677651315323,17.6838825657662,3.53677651315323,3.53677651315323,91.956189341984,24.7574355920726,3.53677651315323,3.53677651315323,3.53677651315323,38.9045416446855,17.6838825657662,14.1471060526129,10.6103295394597,7.07355302630646,10.6103295394597,3.53677651315323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"T_19",0.375,0.5,14.82,19,3.53677651315323,28.2942121052258,3.53677651315323,0,91.956189341984,7.07355302630646,24.7574355920726,0,3.53677651315323,7.07355302630646,0,35.3677651315323,38.9045416446855,7.07355302630646,7.07355302630646,0,0,3.53677651315323,7.07355302630646,3.53677651315323,28.2942121052258,10.6103295394597,3.53677651315323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"T_207",0.375,0.875,9.1,21,0,31.8309886183791,0,0,67.1987537499114,3.53677651315323,17.6838825657662,3.53677651315323,0,49.5148711841452,45.978094670992,45.978094670992,7.07355302630646,0,53.0516476972984,3.53677651315323,0,0,3.53677651315323,0,38.9045416446855,0,3.53677651315323,3.53677651315323,10.6103295394597,3.53677651315323,3.53677651315323,3.53677651315323,21.2206590789194,0,0,0,0,0,0,0,0,0
"T_315",0.25,1,8.84,11,0,10.6103295394597,3.53677651315323,0,67.1987537499114,10.6103295394597,7.07355302630646,0,0,28.2942121052258,7.07355302630646,10.6103295394597,0,0,28.2942121052258,0,0,0,0,0,7.07355302630646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"T_327",0.875,1,1.04,20,0,31.8309886183791,3.53677651315323,7.07355302630646,28.2942121052258,3.53677651315323,0,3.53677651315323,0,28.2942121052258,10.6103295394597,10.6103295394597,3.53677651315323,3.53677651315323,56.5884242104517,3.53677651315323,0,0,3.53677651315323,0,3.53677651315323,0,3.53677651315323,0,0,0,0,0,7.07355302630646,3.53677651315323,3.53677651315323,0,0,0,0,0,0,0
"T_337",0.625,1,12.74,22,17.6838825657662,35.3677651315323,7.07355302630646,17.6838825657662,148.544613552436,10.6103295394597,24.7574355920726,7.07355302630646,3.53677651315323,17.6838825657662,3.53677651315323,60.1252007236049,3.53677651315323,10.6103295394597,56.5884242104517,0,0,0,3.53677651315323,7.07355302630646,10.6103295394597,0,10.6103295394597,0,0,0,0,0,0,0,0,7.07355302630646,7.07355302630646,0,0,0,0,0
"T_350",0.285714285714286,0.571428571428571,10.7466666666667,15,0,10.6103295394597,0,14.1471060526129,81.3458598025243,10.6103295394597,3.53677651315323,0,0,17.6838825657662,10.6103295394597,14.1471060526129,10.6103295394597,0,24.7574355920726,3.53677651315323,0,0,0,0,7.07355302630646,0,7.07355302630646,0,0,0,0,0,0,0,0,0,0,3.53677651315323,0,0,0,0
"T_368",0.25,0.875,28.73,19,0,7.07355302630646,3.53677651315323,21.2206590789194,81.3458598025243,24.7574355920726,14.1471060526129,0,3.53677651315323,3.53677651315323,0,14.1471060526129,7.07355302630646,3.53677651315323,0,7.07355302630646,0,0,3.53677651315323,0,31.8309886183791,21.2206590789194,7.07355302630646,0,0,3.53677651315323,0,0,0,0,17.6838825657662,0,0,0,0,0,0,0
"T_413",0.375,0.5,16.2933333333333,19,0,7.07355302630646,3.53677651315323,3.53677651315323,74.2723067762178,17.6838825657662,10.6103295394597,7.07355302630646,0,17.6838825657662,17.6838825657662,7.07355302630646,3.53677651315323,7.07355302630646,49.5148711841452,0,0,0,3.53677651315323,0,0,0,17.6838825657662,0,0,0,0,0,0,0,3.53677651315323,0,0,0,3.53677651315323,3.53677651315323,0,0
"T_43",0.625,0.875,7.8,22,10.6103295394597,49.5148711841452,0,0,127.323954473516,3.53677651315323,28.2942121052258,0,3.53677651315323,17.6838825657662,10.6103295394597,10.6103295394597,0,14.1471060526129,0,7.07355302630646,0,7.07355302630646,7.07355302630646,0,28.2942121052258,0,3.53677651315323,0,0,0,3.53677651315323,0,35.3677651315323,3.53677651315323,0,7.07355302630646,3.53677651315323,3.53677651315323,0,0,0,0
"V_169",0.125,0.625,14.04,15,0,3.53677651315323,0,0,141.471060526129,17.6838825657662,7.07355302630646,0,0,3.53677651315323,3.53677651315323,0,3.53677651315323,0,14.1471060526129,0,0,0,7.07355302630646,0,10.6103295394597,3.53677651315323,0,0,0,3.53677651315323,0,0,17.6838825657662,0,0,0,0,0,0,0,3.53677651315323,0
"V_179",0,0.125,45.11,14,3.53677651315323,14.1471060526129,0,10.6103295394597,102.566518881444,49.5148711841452,3.53677651315323,0,0,0,3.53677651315323,7.07355302630646,14.1471060526129,0,0,0,0,0,0,0,21.2206590789194,0,7.07355302630646,0,0,0,0,0,0,0,0,0,0,3.53677651315323,0,0,3.53677651315323,0
"V_22",0.125,0.875,17.03,15,0,42.4413181578388,3.53677651315323,0,240.50080289442,38.9045416446855,7.07355302630646,0,0,3.53677651315323,3.53677651315323,7.07355302630646,0,7.07355302630646,7.07355302630646,0,0,0,3.53677651315323,0,3.53677651315323,0,7.07355302630646,0,0,0,0,0,0,0,0,0,0,0,3.53677651315323,0,0,0
"V_236",0.375,1,9.49,23,3.53677651315323,21.2206590789194,0,14.1471060526129,137.934284012976,24.7574355920726,14.1471060526129,3.53677651315323,0,24.7574355920726,3.53677651315323,3.53677651315323,0,7.07355302630646,74.2723067762178,0,0,7.07355302630646,3.53677651315323,3.53677651315323,38.9045416446855,14.1471060526129,10.6103295394597,0,0,14.1471060526129,0,0,0,0,3.53677651315323,0,0,17.6838825657662,3.53677651315323,0,0,0
"V_249",0.25,0.625,21.06,10,0,0,0,10.6103295394597,38.9045416446855,17.6838825657662,0,0,0,0,7.07355302630646,0,0,3.53677651315323,3.53677651315323,0,0,0,0,0,0,14.1471060526129,0,0,0,0,0,0,0,0,0,3.53677651315323,0,3.53677651315323,0,0,0,0
"V_270",0,0.875,7.93,15,0,3.53677651315323,0,7.07355302630646,162.691719605049,7.07355302630646,0,0,3.53677651315323,3.53677651315323,0,17.6838825657662,7.07355302630646,0,0,0,0,0,0,3.53677651315323,3.53677651315323,7.07355302630646,0,0,0,0,0,0,0,0,7.07355302630646,0,10.6103295394597,7.07355302630646,0,0,0,0
"V_290",0,0.625,21.45,7,0,0,3.53677651315323,0,49.5148711841452,3.53677651315323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.07355302630646,0,0,0,0,0,0,0,17.6838825657662,0,0,0,0,0,0,3.53677651315323,0,0
"V_63",0.875,1,0.65,11,0,28.2942121052258,0,0,353.677651315323,0,0,0,0,24.7574355920726,0,0,0,0,162.691719605049,0,0,0,0,0,17.6838825657662,3.53677651315323,0,0,0,3.53677651315323,0,0,31.8309886183791,0,3.53677651315323,0,3.53677651315323,0,0,0,0,0
"V_71",0.375,0.75,22.88,24,0,21.2206590789194,0,10.6103295394597,141.471060526129,49.5148711841452,3.53677651315323,3.53677651315323,3.53677651315323,24.7574355920726,10.6103295394597,14.1471060526129,3.53677651315323,3.53677651315323,14.1471060526129,7.07355302630646,0,0,7.07355302630646,3.53677651315323,3.53677651315323,3.53677651315323,0,0,0,0,0,0,7.07355302630646,0,10.6103295394597,0,0,21.2206590789194,0,0,28.2942121052258,3.53677651315323
"V_81",1,0.875,4.03,11,0,0,0,14.1471060526129,279.405344539105,0,7.07355302630646,0,0,31.8309886183791,3.53677651315323,10.6103295394597,0,0,99.0297423682904,3.53677651315323,0,0,0,3.53677651315323,0,0,0,0,0,0,0,0,53.0516476972984,0,0,0,0,0,0,0,0,0
